lambda_rate,lambda_connectivity,n_seeds,mean_acc,mean_acc_std,min_task_acc,min_task_acc_std,task_loss,task_loss_std,metabolic_cost,metabolic_cost_std,wiring_cost,wiring_cost_std,conn_frac,conn_frac_std,wiring_cost_w_in_l2,wiring_cost_w_in_l2_std,acc_contextdm1,acc_contextdm1_std,acc_dm1,acc_dm1_std,acc_dmsgo,acc_dmsgo_std,acc_fdanti,acc_fdanti_std,acc_fdgo,acc_fdgo_std,train_time_s,is_pareto,run_idx
0.11247461131420951,9.14610103854653,3,0.8798958333333333,0.07552571823282012,0.5510416666666667,0.11635467957213122,0.006596041823892544,0.002135626594215605,0.014896541616568962,9.521784034273005e-05,0.005066779985403021,0.001475790194669065,0.1091911755502224,0.06421131561638184,0.01701538885633151,0.00033604111782015725,0.9973958333333334,0.004510548978043951,0.9984375,0.002706329386826345,0.5973958333333333,0.03984630302278155,0.80625,0.33558484396647,1.0,0.0,1372.2910277307965,True,17
0.11247461131420951,19.127049995800746,3,0.7336458333333334,0.15780239241558838,0.4609375,0.10379752300151486,0.013026018020852159,0.005957956196202428,0.017070026698832712,0.0014816886403286682,0.003597722388803959,0.0010038703487344916,0.04484272903452317,0.037082906199913654,0.017507105444868405,0.00023469843987941347,0.8348958333333334,0.16730671372761263,0.7911458333333333,0.22175576314852183,0.5145833333333334,0.017211157960269084,0.6380208333333334,0.2601754090793043,0.8895833333333334,0.1317450979480198,1370.859385421034,True,18
0.11247461131420951,40.000000000000014,3,0.4716666666666667,0.16494031038403967,0.2869791666666667,0.16508116296108208,0.02247153490160902,0.005961084870309233,0.01628206241565446,0.004464382344521682,0.002921340831865867,0.0007046888835397151,0.017238561646081507,0.017399332665683435,0.016557765503724415,3.900854592199683e-05,0.5395833333333334,0.17165705879262097,0.48281250000000003,0.20552072774114535,0.4932291666666666,0.018109727761160092,0.3,0.18752603985846875,0.5427083333333333,0.2904919610369336,1374.4068352570757,True,19
0.2667268608396602,1.0,3,0.9552083333333333,0.008174926732597312,0.7770833333333332,0.04015148723376675,0.00406596497981809,0.000450644669032776,0.007349486726646623,0.0003143564599386601,0.014597780381639799,0.002751957802770362,0.48817911744117737,0.07654560323271409,0.01443159052481254,0.0004200048142727032,0.9989583333333334,0.000902109795608803,1.0,0.0,0.7770833333333332,0.04015148723376675,1.0,0.0,1.0,0.0,1368.8976743617095,True,20
0.2667268608396602,2.091279105182547,3,0.9444791666666666,0.00989364010783363,0.7270833333333333,0.05625723333122005,0.004796868369060879,0.000519163646210595,0.007654264938707154,0.0004122336301936702,0.009664968432237705,0.002059984448082064,0.3066636025905609,0.08208982229329856,0.01459764689207077,0.0004869468234025099,1.0,0.0,1.0,0.0,0.7270833333333333,0.05625723333122005,0.9953124999999999,0.0081189881604791,1.0,0.0,1359.6221237168647,True,21
0.2667268608396602,4.373448295773113,3,0.9103125000000002,0.016562500000000036,0.6416666666666667,0.022768221869160856,0.00637105404632166,0.001065678818744613,0.008157568061724305,0.0005141159052607986,0.006249767107268174,0.0015544675527939037,0.16034007320801416,0.06944435924950322,0.014374407629172007,0.0006962340755070376,0.9854166666666666,0.020090939085401983,0.9895833333333334,0.016707307221193148,0.6416666666666667,0.022768221869160856,0.9348958333333334,0.07484249955462025,1.0,0.0,1306.9829611987807,True,22
0.2667268608396602,9.14610103854653,3,0.7017708333333332,0.23590590296150565,0.43385416666666665,0.2161696773996837,0.0147871792751054,0.009717348850490545,0.008039149803419908,0.001406748362443104,0.004224318933362762,0.0011562918573800353,0.07250816995898883,0.04502411221925992,0.014313037507236004,0.001142516330645354,0.7781250000000001,0.2232844755715229,0.7416666666666667,0.27716360052924216,0.5442708333333334,0.02578519540518035,0.634375,0.3929058411375428,0.8104166666666667,0.2673032156832075,1308.3371926010586,True,23
0.2667268608396602,19.127049995800746,3,0.4205208333333334,0.15760795324818905,0.20833333333333334,0.13741415407294597,0.023393019499878088,0.0059804295713465705,0.0061040167122458425,0.0018619003238601487,0.0031520052968213954,0.0007202507129100781,0.025592320133000612,0.01993158486979534,0.01450775470584631,0.0013701391190236837,0.47604166666666664,0.18940653959033024,0.4401041666666667,0.22271152457177273,0.4937500000000001,0.019200321449132043,0.20833333333333334,0.13741415407294597,0.484375,0.2709890377741321,1311.535304730758,True,24
0.2667268608396602,40.000000000000014,3,0.350625,0.06037318837861723,0.1875,0.04466126852486391,0.02680143879105647,0.0030305850492196437,0.004879556420880059,0.0013703164000552993,0.002765352682520946,0.0005660479266759195,0.01044219743926078,0.009762297102342367,0.014886395384867987,0.001386072403442458,0.35312499999999997,0.10983163606743732,0.35781250000000003,0.07699178121721825,0.4848958333333333,0.022875199224997672,0.1875,0.04466126852486391,0.3697916666666667,0.09490606649910917,1309.4898715671152,True,25
0.6325269095141253,1.0,3,0.9336458333333333,0.0020332522183273407,0.6765624999999998,0.007160274523368541,0.005446813624196997,0.0006069462251540995,0.004274850607228775,0.0004439391620504646,0.011860283402105173,0.002385454632194743,0.391544113556544,0.07875271340536837,0.012842421419918537,0.00010518918708212496,1.0,0.0,0.9994791666666667,0.0009021097956088031,0.6765624999999998,0.007160274523368541,0.9921875,0.013531646934131853,1.0,0.0,1411.319857567083,True,26
0.6325269095141253,2.091279105182547,3,0.8363541666666666,0.13292434016512306,0.5619791666666667,0.07690188384937867,0.008850000439366946,0.0045088878626101106,0.004397350043679277,0.000350119043472587,0.007591721291343371,0.0016808940199772038,0.22048099835713705,0.06618243517853951,0.012875707199176153,0.0005911111496412021,0.9072916666666666,0.15252860046015415,0.9078125,0.155631588715948,0.5619791666666667,0.07690188384937867,0.8713541666666668,0.22282111951537123,0.9333333333333332,0.11547005383792514,1539.4500759160146,True,27
0.6325269095141253,4.373448295773113,3,0.6647916666666667,0.2741225941336892,0.46875,0.23316877102487374,0.017444509603083132,0.010905970011921855,0.0036279452289454638,0.0013962174275581624,0.0048804575732598705,0.001183239015471038,0.10153696810205777,0.04690167704748136,0.013232725982864698,0.001962855458727394,0.7062499999999999,0.3011493283551368,0.6723958333333333,0.3379349531375577,0.5708333333333334,0.057671562442709455,0.6401041666666667,0.3892235275867626,0.734375,0.2938330999479126,1653.708824145142,True,28
