run_idx,lambda_rate,lambda_connectivity,task_loss,metabolic_cost,wiring_cost,mean_acc,train_time_s,is_pareto
78,0.034666666666666665,0.03377777777777778,0.007291629351675511,0.06406950503587723,0.012708506546914577,0.978125,203.80676316283643,False
79,0.034666666666666665,0.03688888888888889,0.007127590477466583,0.0620845228433609,0.012405230663716793,0.98125,202.15793733065948,False
80,0.034666666666666665,0.04,0.007439302233979106,0.059872318804264066,0.01222663838416338,0.9875,203.6964722550474,False
81,0.03733333333333333,0.012,0.007254021055996418,0.061467235535383226,0.01524160336703062,0.978125,202.87311557400972,False
82,0.03733333333333333,0.015111111111111112,0.007000543782487512,0.059988950937986375,0.01473410613834858,0.984375,201.94717334397137,False
83,0.03733333333333333,0.018222222222222223,0.0075470130424946545,0.06087743639945984,0.01429811678826809,0.98125,203.5985489632003,False
84,0.03733333333333333,0.021333333333333336,0.006981837889179587,0.06271857023239136,0.013923819176852703,0.978125,203.66662089386955,False
85,0.03733333333333333,0.024444444444444446,0.006927753472700715,0.0594956561923027,0.013608104549348354,0.99375,202.12965126661584,False
86,0.03733333333333333,0.027555555555555555,0.006892030220478773,0.05906269699335098,0.013556239195168018,0.9875,202.91085789818317,False
87,0.03733333333333333,0.03066666666666667,0.007077774172648788,0.05973238945007324,0.012924839742481709,0.984375,203.72660875413567,False
88,0.03733333333333333,0.03377777777777778,0.007088322332128883,0.059598829597234726,0.01274552196264267,0.98125,202.78047167882323,False
89,0.03733333333333333,0.03688888888888889,0.007085255207493901,0.05971815139055252,0.012298068031668663,0.98125,202.91028121393174,False
90,0.03733333333333333,0.04,0.007179165631532669,0.058135489374399184,0.012003901414573193,0.984375,203.2379168951884,True
91,0.04,0.012,0.007115172082558274,0.05943678021430969,0.0150914890691638,0.978125,202.25704560428858,False
92,0.04,0.015111111111111112,0.007175614731386304,0.058139576017856597,0.014707622118294239,0.990625,201.24044867185876,False
93,0.04,0.018222222222222223,0.007213101303204894,0.05850983411073685,0.014182220213115215,0.975,202.92788829421625,False
94,0.04,0.021333333333333336,0.007008303795009852,0.05653982907533646,0.013985535129904747,0.984375,200.63739019911736,False
95,0.04,0.024444444444444446,0.007106655882671476,0.05762709155678749,0.013434362597763538,0.98125,203.56511071277782,False
96,0.04,0.027555555555555555,0.006922326097264886,0.057269759476184845,0.01331834215670824,0.9875,203.7664012182504,False
97,0.04,0.03066666666666667,0.006877521658316255,0.056514468789100644,0.012770061381161213,0.9875,202.51194872008637,True
98,0.04,0.03377777777777778,0.007048752717673778,0.05541403964161873,0.012420371174812317,0.990625,202.35363251669332,True
99,0.04,0.03688888888888889,0.0071988677140325304,0.05471536815166474,0.012285023927688599,0.984375,203.49613608932123,True
100,0.04,0.04,0.00690777781419456,0.056665020436048506,0.012039000168442726,0.9875,202.84109891578555,True
