point_idx,seed,lambda_rate,lambda_connectivity,mean_acc,min_task_acc,task_loss,metabolic_cost,wiring_cost,conn_frac,wiring_cost_w_in_l2,acc_fdgo,acc_fdanti,acc_dm1,acc_contextdm1,acc_dmsgo
16,2,0.7071067811865475,60.0,0.3428125000000001,0.2109375,0.029106287509202956,0.0016941859293729067,0.002663089195266366,0.004074755124747753,0.014928719960153103,0.390625,0.2109375,0.3234375,0.2984375,0.490625
17,0,1.8803015465431967,1.0,0.436875,0.2046875,0.0287994072586298,0.0009548891161102801,0.007420632988214493,0.2452818602323532,0.014052114449441433,0.446875,0.2046875,0.41875,0.6125,0.5015625
17,1,1.8803015465431967,1.0,0.881875,0.509375,0.00921204778831452,0.0022546287067234517,0.011554868891835213,0.3820772171020508,0.011163652874529362,1.0,0.909375,1.0,0.990625,0.509375
17,2,1.8803015465431967,1.0,0.6246875000000001,0.45,0.019475194606930018,0.0016583861107937992,0.011168982833623886,0.3854932487010956,0.01187775656580925,0.884375,0.45,0.6703125,0.6328125,0.4859375
18,0,1.8803015465431967,2.7831576837137404,0.3409375,0.1875,0.02971186716109514,0.0007971838384401053,0.0043282946571707726,0.08553921431303024,0.014245543628931046,0.3203125,0.1875,0.334375,0.3703125,0.4921875
18,1,1.8803015465431967,2.7831576837137404,0.381875,0.1515625,0.025029041171073914,0.0011134466144721955,0.006303513888269663,0.17648591101169586,0.013353822752833366,0.4234375,0.1515625,0.43125,0.41875,0.484375
18,2,1.8803015465431967,2.7831576837137404,0.3109375,0.0859375,0.029462483413517475,0.0008133075898513198,0.006603980902582407,0.19770219922065735,0.013292117044329643,0.3765625,0.0859375,0.3421875,0.2703125,0.4796875
19,0,1.8803015465431967,7.745966692414834,0.3425,0.1859375,0.02978977963328362,0.0007682568067684769,0.0028294334188103676,0.01822916604578495,0.014358540996909142,0.2484375,0.1859375,0.2703125,0.4890625,0.51875
19,1,1.8803015465431967,7.745966692414834,0.2971875,0.203125,0.02966873202472925,0.0007806684100069106,0.004174104891717434,0.06810661405324936,0.014221933670341969,0.2671875,0.203125,0.246875,0.2625,0.50625
19,2,1.8803015465431967,7.745966692414834,0.2940625,0.0953125,0.029552189297974107,0.0007948435493744909,0.004195653833448887,0.07478553801774979,0.013292145915329456,0.353125,0.0953125,0.2890625,0.2640625,0.46875
